|bjb|北京北|VAP|
0|bjd|北京东|BOP|
1|bji|北京|BJP|
2|bjn|北京南|VNP|
3|bjx|北京西|BXP|
4|gju|革居|GEM|
5|gmc|光明城|IMQ|
6|hme|虎门|IUQ|
7|qsh|庆盛|QSQ|
8|szb|深圳北|IOQ|
9|xyc|西阳村|XQF|
10|cqb|重庆北|CUW|
11|cqi|重庆|CQW|
12|cqn|重庆南|CRW|
13|sha|上海|SHH|
14|shn|上海南|SNH|
15|shq|上海虹桥|AOH|
16|shx|上海西|SXH|
17|tjb|天津北|TBP|
18|tji|天津|TJP|
19|tjn|天津南|TIP|
20|tjx|天津西|TXP|
21|cch|长春|CCT|
22|ccn|长春南|CET|
23|cdd|成都东|ICW|
24|cdu|成都|CDW|
25|csg|长沙埂|CSW|
26|csh|长沙|CSQ|
27|csn|长沙南|CWQ|
28|fzh|福州|FZS|
29|fzn|福州南|FYS|
30|gya|贵阳|GIW|
31|gyx|贵阳西|GQW|
32|gzb|广州北|GBQ|
33|gzd|广州东|GGQ|
34|gzh|广州|GZQ|
35|gzn|广州南|IZQ|
36|heb|哈尔滨|HBB|
37|hed|哈尔滨东|VBB|
38|hfe|合肥|HFH|
39|hfx|合肥西|HTH|
40|hhd|呼和浩特东|NDC|
41|hht|呼和浩特|HHC|
42|hkd|海口东|HMQ|
43|hko|海口|VUQ|
44|hzh|杭州|HZH|
45|hzn|杭州南|XHH|
46|jna|济南|JNK|
47|jnd|济南东|JAK|
48|jnx|济南西|JGK|
49|kmi|昆明|KMM|
50|kmx|昆明西|KXM|
51|lsa|拉萨|LSO|
52|lzd|兰州东|LVJ|
53|lzh|兰州|LZJ|
54|lzx|兰州西|LAJ|
55|nch|南昌|NCG|
56|nji|南京|NJH|
57|njn|南京南|NKH|
58|njx|南京西|NIH|
59|nni|南宁|NNZ|
60|sjb|石家庄北|VVP|
61|sjz|石家庄|SJP|
62|sya|沈阳|SYT|
63|syb|沈阳北|SBT|
64|syd|沈阳东|SDT|
65|tyb|太原北|TBV|
66|tyd|太原东|TDV|
67|tyu|太原|TYV|
68|wha|武汉|WHN|
69|wjx|王家营西|KNM|
70|wlq|乌鲁木齐|WMR|
71|xab|西安北|EAY|
72|xan|西安|XAY|
73|xan|西安南|CAY|
74|xnx|西宁西|XXO|
75|ych|银川|YIJ|
76|ycn|银川南|YEJ|
77|zzh|郑州|ZZF|
78|aes|阿尔山|ART|
79|aka|安康|AKY|
80|aks|阿克苏|ASR|
81|alh|阿里河|AHX|
82|alk|阿拉山口|AKR|
83|api|安平|APT|
84|aqi|安庆|AQH|
85|ash|安顺|ASW|
86|ash|鞍山|AST|
87|aya|安阳|AYF|
88|ban|北安|BAB|
89|bbu|蚌埠|BBH|
90|bch|白城|BCT|
91|bha|北海|BHZ|
92|bhe|白河|BEL|
93|bji|白涧|BAP|
94|bji|宝鸡|BJY|
95|bji|滨江|BJB|
96|bkt|博克图|BKX|
97|bse|百色|BIZ|
98|bss|白山市|HJL|
99|bta|北台|BTT|
100|btd|包头东|BDC|
101|bto|包头|BTC|
102|btz|北屯镇|BXR|
103|bxi|本溪|BXT|
104|byb|白云鄂博|BEC|
105|byx|白银西|BXJ|
106|bzh|亳州|BZH|
107|cbi|赤壁|CBN|
108|cde|常德|VGQ|
109|cde|承德|CDP|
110|cdi|长甸|CDT|
111|cfe|赤峰|CFD|
112|cli|茶陵|CDG|
113|cna|苍南|CEH|
114|cpi|昌平|CPP|
115|cre|崇仁|CRG|
116|ctu|昌图|CTT|
117|ctz|长汀镇|CDB|
118|cxi|崇信|CIJ|
119|cxi|曹县|CXK|
120|cxi|楚雄|COM|
121|cxt|陈相屯|CXT|
122|czb|长治北|CBF|
123|czh|长征|CZJ|
124|czh|池州|IYH|
125|czh|常州|CZH|
126|czh|郴州|CZQ|
127|czh|长治|CZF|
128|czh|沧州|COP|
129|czu|崇左|CZZ|
130|dab|大安北|RNT|
131|dch|大成|DCT|
132|ddo|丹东|DUT|
133|dfh|东方红|DFB|
134|dgd|东莞东|DMQ|
135|dhs|大虎山|DHD|
136|dhu|敦煌|DHJ|
137|dhu|敦化|DHL|
138|dhu|德惠|DHT|
139|djc|东京城|DJB|
140|dji|大涧|DFP|
141|djy|都江堰|DDW|
142|dli|大理|DKM|
143|dli|大连|DLT|
144|dna|定南|DNG|
145|dqi|大庆|DZX|
146|dsh|东胜|DOC|
147|dsq|大石桥|DQT|
148|dto|大同|DTV|
149|dyi|东营|DPK|
150|dys|大杨树|DUX|
151|dyu|都匀|RYW|
152|dzh|邓州|DOF|
153|dzh|达州|RXW|
154|dzh|德州|DZP|
155|ejn|额济纳|EJC|
156|eli|二连|RLC|
157|esh|恩施|ESN|
158|fcg|防城港|FEZ|
159|fdi|福鼎|FES|
160|fld|风陵渡|FLV|
161|fli|涪陵|FLW|
162|flj|富拉尔基|FRX|
163|fsb|抚顺北|FET|
164|fsh|佛山|FSQ|
165|fxi|阜新|FXD|
166|fya|阜阳|FYH|
167|gem|格尔木|GRO|
168|gha|广汉|GHW|
169|gji|古交|GJV|
170|glb|桂林北|GBZ|
171|gli|古莲|GRX|
172|gli|桂林|GLZ|
173|gqi|高崎|XBS|
174|gsh|固始|GXN|
175|gsh|广水|GSN|
176|gta|干塘|GNJ|
177|gyu|广元|GYW|
178|gzh|赣州|GZG|
179|gzl|公主岭|GLT|
180|han|淮安|AUH|
181|hbe|鹤北|HMB|
182|hbe|淮北|HRH|
183|hbi|淮滨|HVN|
184|hbi|河边|HBV|
185|hch|潢川|KCN|
186|hch|韩城|HCY|
187|hda|邯郸|HDP|
188|hdz|横道河子|HDB|
189|hga|鹤岗|HGB|
190|hgt|皇姑屯|HTT|
191|hgu|红果|HEM|
192|hhe|黑河|HJB|
193|hhu|怀化|HHQ|
194|hko|汉口|HKN|
195|hld|葫芦岛|HLD|
196|hle|海拉尔|HRX|
197|hll|霍林郭勒|HWD|
198|hlu|海伦|HLB|
199|hma|侯马|HMV|
200|hmi|哈密|HMR|
201|hna|淮南|HAH|
202|hna|桦南|HNB|
203|hnx|海宁西|EUH|
204|hrb|怀柔北|HBP|
205|hro|怀柔|HRP|
206|hsd|黄石东|OSN|
207|hsh|华山|HSY|
208|hsh|黄石|HSN|
209|hsh|黄山|HKH|
210|hsh|衡水|HSP|
211|hya|衡阳|HYQ|
212|hze|菏泽|HIK|
213|hzh|贺州|HXZ|
214|hzh|汉中|HOY|
215|hzh|惠州|HCQ|
216|jan|吉安|VAG|
217|jan|集安|JAL|
218|jbc|江边村|JBG|
219|jch|晋城|JCF|
220|jcj|金城江|JJZ|
221|jdz|景德镇|JCG|
222|jfe|嘉峰|JFF|
223|jgq|加格达奇|JGX|
224|jgs|井冈山|JGG|
225|jhe|蛟河|JHL|
226|jhn|金华南|RNH|
227|jhx|金华西|JBH|
228|jji|九江|JJG|
229|jli|吉林|JLL|
230|jlo|九龙|JQO|
231|jme|荆门|JMN|
232|jms|佳木斯|JMB|
233|jni|济宁|JIK|
234|jnn|集宁南|JAC|
235|jqu|酒泉|JQJ|
236|jsh|江山|JUH|
237|jsh|吉首|JIQ|
238|jta|九台|JTL|
239|jts|镜铁山|JVJ|
240|jxi|鸡西|JXB|
241|jxi|蓟县|JKP|
242|jxx|绩溪县|JRH|
243|jyg|嘉峪关|JGJ|
244|jyo|江油|JFW|
